sample_id,body_text,uid_email,annotator_2_A,annotator_2_B,annotator_2_C,annotator_2_notes
25,"When Democrats Turn Out
Alex,
NPR: “Top congressional Democrats are calling for a federal investigation after a nurse who worked at an immigration detention center in Georgia filed a whistleblower complaint alleging a lack of medical care and unsafe work practices that facilitated the spread of COVID-19. She also says that immigrant women received questionable hysterectomies.”
ICE has a history of committing human rights abuses while emboldened under the Trump administration \-- first separating families at the border, then leaving migrant children in cages, and now, allegations have surfaced that a doctor in an ICE detention center performed mass hysterectomies on unknowing migrant women without their consent.
House Speaker Nancy Pelosi is demanding an investigative briefing on these alleged crimes by the end of the week \-- stating: “this profoundly disturbing situation recalls some of the darkest moments of our nation’s history.” But ICE officials are denying any fault.
Since Trump’s election, we’ve seen a rise in xenophobia and hate crimes targeting immigrants and communities of color. Despite mounting evidence of abuse taking place in detention centers across the country, Trump has praised ICE as “compassionate” and said if centers are too crowded, “tell them not to come to the USA.” Another four years of Trump’s inhumane leadership will completely erase the values this country was founded on, but nearly 50% of Americans approve of Trump’s immigration policy. Today we need to know, do you?
Do you condemn ICE's human rights abuses?
YES NO
Your input is critical, so thank you for your participation,
The WDTO Team
TAKE THE SURVEY
Paid for by When Democrats Turn Out PAC
PO Box 15320
Washington, DC 20003
Unsubscribe",deb2eced53c50f5eee52e832e3749515,0,0,0,
26,"Friend,
Our Chairman Nick Langworthy is in Charlotte and just cast New York's 94 delegate votes UNANIMOUSLY for President Donald J. Trump!
Chairman Langworthy Casts All of New York's Votes for President Trump!
But he didn't stop there--he also used his time at the microphone to SET THE RECORD STRAIGHT on President Trump's incredible leadership for New York throughout coronavirus. Despite the lies told during Democrats' fictional convention last week, Chairman Langworthy reminded America that President Trump gave New York everything it asked for. Even dishonest Governor Cuomo thanked President Trump for his tremendous support.
From sending the U.S.S. Comfort, to providing PPE and thousands of ventilators to lifting up New Yorkers and small businesses with financial aid, President Trump delivered for the state of New York.
But it's New York's leadership that has created turmoil. Our worst-in-the-nation business climate, multi-billion dollar budget deficit and crime-riddled [[URL REDACTED]] failed New York agenda will be the failed national agenda under the Biden-Harris ticket.
That is why the New York GOP is fighting to give President Trump FOUR MORE YEARS! Will you stand up with us and FIGHT?
FIGHT WITH US TO RE-ELECT PRESIDENT TRUMP
We are 70 days away from Election Day and President Trump Needs us to have a strong NYGOP in fighting shape. Help us beat back the Democrats' lies and fake news!
CHIP IN $1,000
CHIP IN $500
CHIP IN $250
CHIP IN $100
CHIP IN $50
CHIP IN $25
Facebook    Twitter
New York Republican State Committee | 315 State Street, Albany, NY 12210
Unsubscribe [[EMAIL_REDACTED]]
Update Profile | About our service provider
Sent by [[URL REDACTED]] powered by
Trusted Email from Constant Contact - Try it FREE today.
Try email marketing for free today!",5f074440100e838ba18abb94b690d5da,1,0,0,could potentially be C but suggests that crime-riddled agenda is under B-H admin
27,"Breonna Taylor was innocent and an emergency room hero. She did not deserve to die.
But she was murdered in her sleep by 3 Louisville Police officers. The invading officers were not fired or charged with a crime.
We need 100,000 activists to demand justice. Add your name now >>
JUSTICE FOR BREONNA TAYLOR: DEMAND THE INVADING OFFICERS ARE CHARGED WITH MURDER ➞
We need you to remember this name: Breonna Taylor.
Breonna Taylor was an award-winning EMT and First Responder from Louisville, KY who risked her own health and safety to serve her community during Covid-19. Her life mattered.
Breonna Taylor
But Breonna was murdered by the Louisville Police Department at her home while sleeping. They barged in without identifying themselves to look for drugs that were never found and for a person who did not even reside in Breonna’s residence.
Breonna’s life was stolen. But the three police officers who invaded her home are STILL gainfully employed and have yet to be arrested and charged with murder.
The only person who was charged was Breonna’s boyfriend, who shot at the door in self-defense when the officers refused to identify themselves.
We’re beyond disgusted at this horrific disregard for Black life. So we’re calling for justice.
We won’t rest until these offenders are held accountable for their crime. Sign on to demand the invading officers are charged with the murder of Breonna Taylor →
JUSTICE FOR BREONNA TAYLOR: DEMAND THE INVADING OFFICERS ARE CHARGED WITH MURDER ➞
Black Americans, especially Black essential workers like Breonna, deserve the right to sleep peacefully in their own home, free from harm.
This is an injustice that cannot be ignored. And it will take an army of grassroots activists like you, to finally be taken seriously by Kentucky State Officials.
Sign your name to DEMAND the officers who invaded Breonna Taylor’s home are charged with her murder →
JUSTICE FOR BREONNA TAYLOR: DEMAND THE INVADING OFFICERS ARE CHARGED WITH MURDER ➞
Together,
Congressional Black Caucus PAC
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
CONGRESSIONAL BLACK CAUCUS PAC
455 Massachusetts Ave., NW #150-355
Washington DC 20001
Paid for and Authorized by the Congressional Black Caucus PAC
This message was sent to: [[EMAIL_REDACTED]] | Change or update your email address by clicking here.
The Congressional Black Caucus works to increase the number of African Americans in the U.S. Congress, support non-Black candidates that champion our interests, and promote African American participation in the political process.
We’re committed to getting African Americans and non-Black allies elected to the highest positions in Congress and activated at the polls to advance issues that matter in our communities.
By joining this grassroots movement, you are helping uplift African Americans in the political process. Our campaign is powered by supporters like you. Your grassroots support is critical to combating the Trump Administration and promoting African American participation in the political process. If you'd like to donate to our campaign, please click here.
Donate $5 immediately →
We believe that emails are a crucial way for our campaign to stay in touch with supporters like you. However, if you'd prefer to receive fewer emails, you can click here. If you would like to unsubscribe, click here. From the entire Congressional Black Caucus PAC team, thank you for your support!",0ebe3da707a4a0df6d78400c90208986,0,0,0,
28,"Trump is ENRAGED >>>>>>>>>>>>>>>>>>>>
The Democratic Strategy Institute is dedicated to training a wave of Democratic candidates and campaign staff. Together, we'll win a progressive landslide and defeat Trump. If you want to receive only our most important emails, click here. If you want to unsubscribe, click here.
SUPREME COURT RULING: Donald J. Trump Must Release His Tax Returns
'US Supreme Court rules Trump must turn over financial records' - Al Jazeera
100,000 URGENT SIGNATURES NEEDED TO FORCE DONALD J. TRUMP TO COMPLY WITH THE SUPREME COURT AND RELEASE HIS TAX RETURNS >>
I, A BROWN, DEMAND TRUMP RELEASE HIS TAX RETURNS >>
This petition is registered to [[EMAIL_REDACTED]]. Your signature is required before 11:59PM. Failure to sign could result in Trump getting off the hook for his crimes.
Alex -- It’s happening.
The Supreme Court ruled Donald Trump MUST hand over his taxes. Once his crimes are exposed, Trump will LOSE his bid for the White House!!
So Trump’s corrupt lawyers are fighting to tooth and nail to COVER-UP his tax returns.
They’re ignoring the Supreme Court. It’s OUTRIGHT corruption!!
If we collect 100,000 signatures DEMANDING Trump’s tax returns → we can expose Trump for the FRAUD and LIAR that he is!
But that means we need your signature before midnight. Without your signature, Trump will go totally FREE. Can you SIGN NOW? We still need [7] signatures from 43620 to meet our goal! >>
I, A BROWN, DEMAND TRUMP RELEASE HIS TAX RETURNS >>
[[URL REDACTED]]
Signing this petition is the only way to stop Trump,
Democratic Strategy Institute
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
Thank you for supporting the Democratic Strategy Institute. We power Progressive campaigns to victory.
Democratic Strategy Institute
We’re proudly 100% funded by good grassroots Democrats.
OFFICIAL DEMOCRATIC DONOR FILE
Supporter: Alex Brown
Donor Status: You Have Not Donated
Matching Donation Offer: Your gift will be 400%‑Matched
Donate to Democrats Now >>
Safe and Secure Checkout Confirmed
American Express Apple Pay Mastercard PayPal Visa
Who are we? The Democratic Strategy Institute is a new project of the National Democratic Training Committee, the largest free Democratic training organization in the country. We’re a grassroots-funded organization working non-stop to elect a WAVE of Progressives nationwide.
Our experts are training an army of Democratic candidates and political staff to run revolutionary grassroots campaigns to defeat Republicans.
We’re dedicated to gathering, analyzing, and sharing the best practices, strategies, and cutting edge tactics used by Democratic campaigns across the country. And we need grassroots donations to fund our work!
Donate to the Democratic Strategy Institute >>
Alex -- thank you for being a good Democrat and reading our emails!
The future of the Democratic party depends on building a massive bench of Progressive candidates and staff. That’s why we train and connect candidates, campaign staff, and local leaders. If we can train enough candidates and campaign staff nationwide, we’ll have what it takes to save our Democratic majority, flip the Senate, and end Trump’s Presidency.
But our work costs a lot of money. We depend on donations from proud grassroots Democrats like you. Can you chip in?
Donate to the Democratic Strategy Institute >>
If you’d like to receive fewer emails, please click here. If you’d like to unsubscribe, click here.
Thank you for doing your part to elect a wave of Progressives and defeat Donald Trump!
Paid for by the Democratic Strategy Institute, [[URL REDACTED]], and not authorized by any candidate or candidate's committee.",6933c0f333b00a64e38bb2384ca8c185,0,0,0,
29,"Legislation to protect children who survive botched abortions failed in the U.S. Senate on Tuesday, including ""no"" votes from Sens. Peters and Stabenow.
PETERS, STABENOW FILIBUSTER BORN ALIVE BABIES
On Tuesday, February 25, the U.S. Senate failed to advance two prolife pieces of legislation. Though both bills received majority support, the pro-abortion minority in the U.S. Senate had enough votes to filibuster the bills.
The first bill, the Pain Capable Unborn Child Protection Act, would ban abortions after 20 weeks of pregnancy, based on evidence that children at that point in pregnancy can feel pain from the gruesome abortion methods designed to take their lives. The vote was 53 to 44, failing to get the three-fifths vote required to ""end debate.""
The second bill, the Born-Alive Abortion Survivors Protection Act, would add specific protections in law for children who survive botched abortions. The vote was 56 to 41, just short of the three-fifths needed.
Both of our U.S. Senators from Michigan, Gary Peters and Debbie Stabenow, voted to filibuster these bills. While filibustering has grown in popularity in recent years, it's still generally used for only controversial bills.
What's so controversial about providing medical care to newborns? The original Born-Alive Infants Protection Act of 2002 received unanimous consent in the U.S. Senate; they didn't even have to hold a vote. Today, many elected officials are so in thrall to Planned Parenthood that they fail to condemn what amounts to an after-birth abortion, leaving children who survive botched abortions to die because they weren't ""wanted.""
Even despite recent evidence and growing support from some for infanticide and medical neglect of newborns who survive botched abortions, Sens. Gary Peters and Debbie Stabenow were unmoved. They believe protecting newborns is so controversial that legislation mandating equal treatment for them must not even be allowed to be voted on.
Full story
MARCH 10 PRESIDENTIAL PRIMARY
Just a quick reminder that time is running out if you want to request an absentee ballot for the March 10 presidential primary in Michigan. Remember, Michigan election law changes mean you can request an absentee ballot for any reason, or even go to your local clerk's office and cast an ""early vote"" by filling out a ballot there.
RIGHT TO LIFE RESOURCES: INFANTICIDE
Though thankfully most people still agree infanticide is wrong, infanticide has always been with us and will always be with us in some form. Because of that, opposing infanticide is part of Right to Life of Michigan's mission statement.
Historically and today, the greatest concern with infanticide is withholding medical care from disabled babies. We have a page on our website devoted to this major issue we address. If you haven't heard of Baby Doe, or Kermit Gosnell, or Michigan's Safe Delivery Law, you should give it a look.
Infanticide page
FILIBUSTERING ABORTION
While Senators Gary Peters and Debbie Stabenow voted to hold the debate open on those two prolife bills indefinitely, that's just a tactic to take advantage of U.S. Senate rules. In truth, they don't want abortion to be discussed or debated. Pro-abortion elected officials want to keep abortion in the dark, completely unrestricted, far from the eyes of health department officials. When stories like the Kermit Gosnell case come to light, instead of being outraged by thousands of infanticides allowed to occur under the noses of state health inspectors, they insist it's just a ""local crime story"" to be swept under the rug.
Our job is to constantly keep abortion in the public spotlight, because we know that such a great injustice only works if we can pretend the unborn child doesn't exist. We're going to keep ""filibustering"" abortion no matter what the laws say, the media reports, or judges approve, for as long as it takes.
[[URL REDACTED]] | [[URL REDACTED]]
Right to Life of Michigan | 2340 Porter St SW, Grand Rapids, MI 49509
Unsubscribe [[EMAIL_REDACTED]]
Update Profile | About Constant Contact
Sent by [[URL REDACTED]] in collaboration with
Trusted Email from Constant Contact - Try it FREE today.
Try email marketing for free today!",e6363201108e7fb7f901ad3f3bb828aa,0,0,0,
30,"Hi Alex,
First, I want to remind you that Our 15th Year Anniversary Virtual Celebration is still ongoing, and the need for your financial support is stronger than ever. Please help us start the next fifteen years with a firm foundation by making your donation today.
### Donate Here for our 15th Anniversary!
> > We hope you enjoyed Independence Day safely and with family and friends. While there is still a lot of Summer left, there is much work to do to prepare us for the upcoming battle in the Fall. And there are issues that must be fought for outside of the election. In this week's Newsletter we'll cover some of them.
### Sign Up for Our Volunteer Army!
Our top priority this Summer – and until November – is to reach out to our neighbors in often neglected areas of NW Philly and have good conversations with them about the importance of winning back the White House – to put an end to this corrupt administration – and do it so soundly that it sends a message to his enablers that the crime spree is over.
What will it take? It will require us to redouble our efforts from past campaigns. We must work together as a well-coordinated Volunteer Army to make calls (and knock doors where we can) to talk with the folks who stayed home in 2016, and to follow up with them to make sure they apply for a mail-in ballot (or commit to vote safely on Election Day).
The work we do this year will not be easy, but it is critical if we want to remain a democracy. If we commit to work together, if we call upon our friends to join us in this endeavor, we will deliver Pennsylvania on November 3rd. We will also have laid the foundation for the work that needs to be done in the coming year in those neighborhoods that have been long ignored.
Our work starts in August. Are you ready to step up?
## Click Here to Beat Trump!
###
###
### Voter Registration Opportunities
We are gearing up to phone bank and canvass (where appropriate) in NW Philly starting in a few weeks. Meanwhile, we still need to get folks registered to vote. If you'd like to help with this effort, you can do it here:
Ongoing –Tabling to Register Voters: If you are willing to spend some time tabling in high-traffic areas to register new voters, please email [[URL REDACTED]]
July 17th – Youth Voter Registration Party, 4-6PM: There will be music and snacks as we ask our younger neighbors to get involved in the governing of our nation by registering to vote, and then applying to vote by mail. We'll also be shooting some Tik Tok videos to share. The street party takes place near Temple University at 1428 Cecil B. Moore Ave.
### Open Forum on Philly Climate Issues: July 29th at 7PM
You are invited to join the Neighborhood Networks Environmental Committee and NW Philly Climate Action Network (NW Philly CAN) on Wednesday, July 29, 7 pm, for an on-line gathering highlighting the latest news about key climate-related issues and projects in Philadelphia. Speakers will include Meenal Raval on PECO and PGW’s recent hearings on rate hikes, Lynn Robinson on the SEPTA Nicetown Gas Plant, a combined heat/power plant, and Philly Thrive on Hilco’s conversion of the PES site.
For the zoom link, please RSVP to [[URL REDACTED]]
Thanks for all you do!
Tim Brown, Projects Organizer
Learn more about Philly NN on our website.
Contributions are not tax deductible as charitable contributions for federal income tax
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Philadelphia Neighborhood Networks, please click here.",ab9a8e7aa9ae743d4a70b13e350c7f8e,1,0,0,"unsure, not much context"
31,"Official [[URL REDACTED]] Alert
Safeguarding Our Rights, Freedoms and Liberties 24/7
Learn more about RevenueStripe...
## Yet Another Project Veritas Bombshell: How Google Is Directly Helping Democrats Get Elected
# Read This 247 Alert Now...
#### RECENT POSTS
## Watch: Antifa Members Conduct Satanic Ritual Amid Protest—Using Real, Bloody Heart
## Read This Alert...
## Unreal: Trump Supporters Shot At For Trying To Be Friendly To Biden Supporter—This Is Insane
## Read This Alert...
Those filthy rotten liberals.
I don’t know about you, but they make me so angry I could spit fire.
Nothing but a bunch of lying, conniving, sneaky socialist pigs.
Look, I’ve always been brutally honest with you and now I must share something with you I’ve been dreading...
It kills me to do so.
It’s bad but I must let you know, or I’d never forgive myself so here goes:
I’m scared to death we’re starting to lose the battle...
It feels as if Trump’s reelection is slipping through our fingers.
We CAN’T let that happen.
You do want 4 more years of Trump, right?
If so, please sign our Official 2020 Pledge to VOTE TRUMP.
President Trump needs to know how many Patriots he can count on.
In fact...
We’re finalizing the list of Patriots who already completed the Official 2020 Pledge to VOTE TRUMP on Election Day—and we need to know you’re with us.
Make absolutely sure you’re on the list and not left out.
Can you imagine what our country will turn into Trump is not elected and the radical left takes over?
If you thought Obama was bad you ain’t seen nothing yet.
We’ve got to fight harder, scream louder, round up every Trump supporter we know...
Every undecided sitting on the fence...
And RISE UP.
I’m worried sick. I can’t sleep at night and I can’t eat.
My stomach is in knots—and I know I’m not alone.
Even Ted Cruz is running scared right now.
He came right out and said it...
“I'm worried about the election. I think it's really volatile. I think it could go either way. [[URL REDACTED]] president could win by a big margin and we could win both houses of Congress, [[URL REDACTED]] could be devastating.”
Let’s face it. Trump had a setback with Covid-19.
No question it’s putting him behind with his campaigning.
What’s worse...
Do you know what the Democrats are up to now while no one is looking?
Secretly funneling $170 million in government grants to radical left-wing extremist groups to carry out their dirty work
The group funding them—the Tides Center—has been flying under the radar for years...
Constantly creating new activist groups—that’s their sole mission.
These radical activist groups are the ones burning our country down.
If this doesn’t make you steamed, I don’t know what will because...
They’re using YOUR tax dollars!!!!
And they’re using them to fund radical extremist groups like Marxist Black Lives Matter Global Network...
Not to mention the Tides Center is an incubator for gun control and abortion rights.
They’re like this giant secretive dark money pit that Democrat donors throw massive amounts of money into.
Just to give you a little taste...
Millions have come from the insidious likes of George Soros's Open Society Foundations.
Need I say more? This is as bad as I’ve ever seen it.
Not only are they using extremist groups now but...
IF Trump loses these radicals are going to overrun the country...
They’re going to be crawling all over the White House, Oval Office and seats of Congress like cockroaches.
America will be lost forever.
Is that what you want?
I sure as hell don’t.
Look my friend, the liberals and their “super snowflakes” have mega money to burn and...
They’re throwing it at the feet of any radical that will take up their cause: defeat Trump and turn America into a globalist cabal.
Senator Cruz said it best...
""There are a lot of Democrats trying to steal the election...” “The left is showing up. They're pissed off. They hate Trump. We've got to make sure everyone else shows up.”
We need you to show up NOW — not tomorrow or the next day or only on November 3 at the voting booth.
Time is running out fast.
Now I know sometimes people wonder, well what can I do besides vote?
A LOT! This election is riding on YOU, a true Patriot.
If you want 4 more years of Trump here’s what you can do:
I need you to sign the Official 2020 Pledge to VOTE TRUMP right now.
We’ve got to rally everyone to make this happen—to keep Trump in the Oval Office for another 4 years.
Imagine the horrors if he doesn’t get reelected...
Liberals will undermine the Constitution and  PACK  the Supreme Court...
They’re going to come running for your guns and ammo...
Then they’ll obliterate the Second Amendment...
Free speech will be shackled and chained...
Religious freedom will be abolished.
Remember how they removed God from our monuments, schools and military already under Obama?That was phase 1.
No doubt phase 2 will be the complete eradication of God.
Bibles will be [[URL REDACTED]] of worship will be taxed, putting them out of business...probably boarded up.
That cross around your neck? It’ll become a crime to wear it.
I’m not kidding. This is the liberal horror show—their vision if the Democrats get elected.
There is SO much at stake we can’t sit by and let the liberal loons take control of our beloved country.
It’s up to us.
Please do these 2 things right now:
1\. The Official 2020 Pledge to VOTE TRUMP—sign here.
2\. Make a donation to keep us fighting and help put Trump firmly back in the lead so we have a runaway election. Click here.
Look, I’m asking you to do this because I’m worried. I didn’t see your name on the Official 2020 Pledge to VOTE TRUMP.
I checked it again and again. See for yourself:
Official 2020 Pledge to VOTE TRUMP
Supporter: Friend
ACCOUNT NUMBER: 12181995 - 2020
Supporter Pledge: NOT FOUND
DEADLINE: MIDNIGHT
PLEDGE YOUR VOTE NOW
Status: The Official 2020 Pledge to VOTE TRUMP List will be sent to all Republican Congress tomorrow morning - don't be left behind.
Now you may be thinking, “Yeah I saw the polls but the polls can’t be trusted.”
Yes, we know the media and pollsters lie but...
You and I can’t take it for granted that Trump is ahead either.
He’s lost ground the past week being quarantined and not on the campaign trail.
We must keep fighting this brutal battle until Trump is officially declared a winner.
There are less than 25 days until election day.
Ask yourself one question:
Are you a TRUE Patriot? If your answer is YES...
Sign the Official 2020 Pledge to VOTE TRUMP right now.
Then give a donation to help us get out there on the frontlines fighting this battle to the end.
$35, $50, $75, $150 or whatever you can give is great.
It’s a lot to ask in times like these, I know.
But I also know we will all be in financial ruins if Biden wins.
Jobs will be lost...
The market will crash...
Economic recovery will never happen in our lifetime.
Every donation you give of any amount counts towards helping Trump, the underdog, WIN this election.
Your donation puts our army of Trump supporters on the phone...
...relentlessly blasting our messages across social media...
... churning out faxes and emails...
...putting boots on the ground in DC and across the country...
... organizing rallies, marches and boat parades...
Please think of what America will look like under Biden and his corrupt DemoCRAP cronies.
It’s terrifying.
How badly do you want 4 more years or Trump leading America?
Will your name be on the list of Trump’s TOP supporters going to Republican leaders tomorrow?
Pledge to VOTE TRUMP on November 3rd now.
Then give a donation from the heart—one that says “I Stand With Trump! God Bless America!”
Before you do anything else, ask yourself:
How badly do you want Trump to win?
Steve Eichler
President, [[URL REDACTED]]
P.S. URGENT: If you’re a Trump supporter, loud and proud, and you want 4 MORE YEARS of the America First agenda, we need you to take the  Official 2020 Pledge to VOTE TRUMP before the list closes at midnight tonight
P.P.S. We’re reaching out to you because you’ve proven to be a dedicated grassroots conservative. We want to  ADD YOUR NAME to the Official 2020 Pledge to VOTE TRUMP list before we send it to Republican Leadership tomorrow morning! Hurry,  sign the Pledge by midnight tonight.
YOU MIGHT LIKE
Learn more about RevenueStripe...
## We the People Stand United to Safeguard Our Rights, Freedoms and Liberties 24/7.
### This message is paid for by the Tea Party. Not authorized by any candidate or candidate's committee.
DISCLAIMER
Use of this Publisher's email, website and content, is subject to the Privacy Policy and Terms of Use published on Publisher's Website. Content marked as ""Special"" or ""Sponsored"" may be paid for by advertisers and are not endorsed by our company. The content in our emails is for informational or entertainment use, and is not a substitute for professional advice. Always check with a qualified professional for treatment advice and/or diagnosis. Be sure to do your own careful research before taking action based on anything you find in this content.
View Online
This email was sent by:
Teaparty, Inc.
4533 MacArther Blvd.Penthouse 238
Newport Beach Ca. 92660",b2697e3f3f748acfb885d721f86d84b2,0,0,0,
32,"look, this is a difficult email to write.
BOLD Democrats is dedicated to ending Donald Trump’s presidency, taking back the Senate, and electing a wave of diverse Democrats. We’re the largest organization working to engage Latino voters -- that’s how we’ll take down Trump. If you really want to receive only our most urgent emails or unsubscribe, click here.
This is a difficult email to write.
We’re about to lose our golden opportunity to CRUSH Donald Trump.
Because nobody (we mean NOBODY) has chipped in to our campaign to defeat Trump in November!
[[EMAIL_REDACTED]]: YOU HAVE NOT DONATED
We can’t afford to lose this fight: in the last two weeks, Trump falsely accused Obama of crimes, LIED about his pandemic response, and RAILED against Vote by Mail.
So we’re asking again -- this may be your final opportunity. PLEASE step up and do the right thing: give $5 to defeat Donald Trump (we’ll 400%-MATCH it) >>
400%-MATCH: $5 >>
400%-MATCH: $25 >>
400%-MATCH: $50 >>
400%-MATCH: $100 >>
400%-MATCH: $250 >>
400%-MATCH
Custom Amount >>
Look, the stakes are too high to ignore.
IF you want Trump to lose in November...
IF you want to destroy his Senate Majority...
IF you care AT ALL about the future of this country...
Then chip in $5 to help us turn out THOUSANDS of Democrats in November (it’s our ONLY shot at winning!) >>
DEADLINE: 96 HOURS ✓ | GOAL: $100,000 ✓ | PROGRESS: 23% X
400%-MATCH: $5 >>
400%-MATCH: $25 >>
400%-MATCH
Custom Amount >>
Thanks for standing up for our democracy.
\--BOLD Democrats
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
Defeat Donald Trump Fund
The biggest General Election of our lifetimes is just MONTHS away.
Trump and his SuperPAC allies will never run out of money to take down Joe. But we can’t afford to have Trump in office for another 4 years.
We need every nickel and dime we can get to defeat Trump. Donate today:
400% MATCH: Donate Now →
Emails like this one power us to victory! But if you’d like to receive fewer emails from us, click here. If you’d like to unsubscribe from our emails, please click here. If you'd like to change or update your email address, click here. If you can afford to donate to BOLD Democrats, please click here. to make a contribution today.
BOLD Logo
BOLD Democrats
PO Box 75357
Washington, DC 20013
PAID FOR BY CHC BOLD PAC AND NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",c350e798260c642b48cd8f742e29e59d,0,0,0,
33,"open
It seems there is suddenly a movement in media to silence anyone who speaks out against George Soros—and, specifically, his funding of radical prosecutors seeking to change the criminal justice system by simply ignoring certain crimes.
LOVE for New York
### The Soros Cover-Up
IMAGE
It seems there is suddenly a movement in media to silence anyone who speaks out against George Soros—and, specifically, his funding of radical prosecutors seeking to change the criminal justice system by simply ignoring certain crimes.
#### Read More
#### More News
#####  The Soros Cover-Up
#####  Pelosi bristles at coronavirus compromise pressure
#####  Trump touts Middle East peace deals in Rosh Hashanah message to US Jews
#####  NYC principal calls Mayor Bill de Blasio a 'b*****d dictator' who 'should be fired and led away in handcuffs'
#####  Texas pushes forward with business reopenings as coronavirus cases, hospitalizations slide, Gov. Abbott says
IMAGE
Love For New York
630 West 138th St #2
New York, NY 10031
©2020, All Rights Reserved
Paid For By LOVE for New York
Unsubscribe",e7d653519859585b2dcf255153b407dc,0,0,0,
34,"#
Alex, have you seen Trump's tweets about Iran?
In case you missed it, Trump threatened to target and destroy Iran's cultural sites -- a legitimate war crime \-- and continues to say that if Iran retaliates, the U.S. will strike back ""quickly"" and in ""perhaps a disproportionate manner.""
Trump is dangerous and making military threats through Twitter, edging us closer and closer to war. We can't let it happen.
Add your name right now to DFA's petition calling on Congress to act NOW to stop war with Iran >>
Add your name
Alex, this is important.
Last night, news broke that the United States launched an airstrike in Iraq that killed a top military general of Iran.
It was an incredibly reckless, dangerous escalation in tensions between the U.S. and Iran, and many fear it means we’re on the brink of another endless, deadly war – this time with Iran.
There’s no time to waste: we the people need to stand up and demand Congress do their Constitutional duty by voting to stop a war with Iran ASAP. Add your name to our joint petition with Win Without War to make your voice heard now >>
ADD YOUR NAME
As Bernie Sanders and Elizabeth Warren both pointed out, Donald Trump once criticized the Iraq war and even made promises to stop endless wars like it, but the truth is, yesterday’s military aggression towards Iran was no accident.
Since day one of his presidency, Trump has pushed our country towards a war with Iran. He filled his cabinet with warmongers like Mike Pompeo, pulled out of the historic and successful Iran nuclear deal, embarked on a “maximum pressure” campaign that sent thousands more U.S. troops to the Middle East, imposed crippling economic sanctions on Iran, and now, he oversaw the assassination of a senior Iranian military commander.
We’re now on the path to another potential World War III, and countless lives are at stake.
If you thought the wars in Afghanistan and Iraq were bad, experts say a war with Iran would be even worse.
The power to declare war belongs in the hands of Congress, NOT the president. We need you to get loud in this moment of urgency and demand Congress step in and stop war with Iran now!
Together, we must rush to stop another endless war before it’s too late.
Thanks for taking action,
-Charles
Charles Chamberlain, Chair
Democracy for America
Paid for by Democracy for America, [[URL REDACTED]] and not authorized by any candidate. Contributions to Democracy for America are not deductible for federal income tax purposes.
This email was sent to [[EMAIL_REDACTED]]. Click here to unsubscribe from receiving further emails.",67c9a4ec27f5ff83621e0bb7ad53593d,0,0,0,
